"RIVER" "MILE" "SPECIES" "LENGTH" "WEIGHT" "DDT"
"31" "TRM" 280 "SMBUFFALO" 49 1763 4.5
"32" "TRM" 280 "SMBUFFALO" 46 1459 4.2
"33" "TRM" 280 "SMBUFFALO" 52 2302 3
"34" "TRM" 280 "SMBUFFALO" 46 1614 2.3
"35" "TRM" 280 "SMBUFFALO" 46 1444 2.5
"36" "TRM" 280 "SMBUFFALO" 48 2006 6.8
"55" "TRM" 290 "SMBUFFALO" 43.5 1291 3.4
"56" "TRM" 290 "SMBUFFALO" 46.5 1186 13
"57" "TRM" 290 "SMBUFFALO" 43 1293 5.6
"58" "TRM" 290 "SMBUFFALO" 47 1709 12
"59" "TRM" 290 "SMBUFFALO" 46 1425 21
"60" "TRM" 290 "SMBUFFALO" 41 1176 8
"73" "TRM" 300 "SMBUFFALO" 35.5 1300 1.3
"74" "TRM" 300 "SMBUFFALO" 46 1365 4.8
"75" "TRM" 300 "SMBUFFALO" 45 1437 5.1
"76" "TRM" 300 "SMBUFFALO" 44.5 1460 5.1
"77" "TRM" 300 "SMBUFFALO" 49 1671 4
"78" "TRM" 300 "SMBUFFALO" 47.5 1717 10
"91" "TRM" 310 "SMBUFFALO" 46 1486 1.4
"92" "TRM" 310 "SMBUFFALO" 47 1743 6.1
"93" "TRM" 310 "SMBUFFALO" 48.5 2061 2.8
"94" "TRM" 310 "SMBUFFALO" 48 1707 4.8
"95" "TRM" 310 "SMBUFFALO" 38 862 5.7
"96" "TRM" 310 "SMBUFFALO" 38.5 911 3.3
"109" "TRM" 320 "SMBUFFALO" 36 1285 12
"110" "TRM" 320 "SMBUFFALO" 34.5 1178 33
"111" "TRM" 320 "SMBUFFALO" 44.5 1492 48
"112" "TRM" 320 "SMBUFFALO" 46 1524 10
"113" "TRM" 320 "SMBUFFALO" 46 1473 44
"114" "TRM" 320 "SMBUFFALO" 32.5 520 0.43
"127" "TRM" 330 "SMBUFFALO" 33.5 599 0.3
"128" "TRM" 330 "SMBUFFALO" 47 1704 1.2
"135" "TRM" 340 "SMBUFFALO" 32.5 525 0.99
"136" "TRM" 340 "SMBUFFALO" 38 806 0.45
"137" "TRM" 340 "SMBUFFALO" 38.5 694 2.5
"138" "TRM" 340 "SMBUFFALO" 36 643 0.25
